department,commodity_desc,total_sales,baskets,customers,units,coupon_line_rate,avg_sales_per_line,sales_share
DRUG GM,ORAL HYGIENE PRODUCTS,36423.45,7814,1639,11993,0.04891514916698954,3.5280366137156136,0.004520461296361285
PRODUCE,APPLES,36160.75,12543,1759,16404,0.0,2.661422683447413,0.0044878579822174
PRODUCE,BERRIES,34142.310000000005,9127,1542,14336,0.0,3.193855004677269,0.004237352335469839
PRODUCE,GRAPES,34038.69,10158,1763,10927,0.0,3.164035136642499,0.004224492208284496
GROCERY,PASTA SAUCE,33993.4,11725,1816,19456,0.018326002932160468,2.2653205384512862,0.004218871332389649
MEAT-PCKGD,HOT DOGS,33983.23,10998,1788,18364,0.006550218340611353,2.8538150822976154,0.004217609148511296
GROCERY,CAT FOOD,33590.68,6563,743,30240,0.01986428130783467,2.0722196175200494,0.004168890340109383
DRUG GM,GREETING CARDS/WRAP/PARTY SPLY,33396.590000000004,7607,1604,13671,0.0,2.801727348993289,0.004144802113074032
PRODUCE,VEGETABLES - ALL OTHERS,33137.56,16420,1892,25436,0.0,1.6255057392328067,0.004112654277281528
DRUG GM,MAGAZINE,32785.65,7259,1211,9802,0.0016368286445012788,3.3540306905370847,0.004068979240051324
DELI,CHICKEN/POULTRY,32295.98,5915,1222,6899,0.00015855398763278897,5.1206564135088,0.004008207009991041
GROCERY,PNT BTR/JELLY/JAMS,32167.93,10373,1898,14262,0.030225923355694347,2.480370884416686,0.003992314911109714
GROCERY,BAKING MIXES,31079.76,11292,1815,24063,0.022337633327748924,1.7356207069860947,0.0038572637182968015
SALAD BAR,SALAD BAR,30878.83,8402,1152,10647,0.0,3.251087597388924,0.003832326588829992
GROCERY,BAKING NEEDS,30533.71,10402,1815,17848,0.006867660188173889,2.0969514456424694,0.003789494248604115
GROCERY,PAPER TOWELS,30254.54,10178,1600,15176,0.026105737627946286,2.8410686449431872,0.003754846866763428
KIOSK-GAS,FUEL,29536.56,1788,346,119617,0.0,16.519328859060405,0.0036657394153396484
MEAT-PCKGD,HEAT/SERVE,28240.170000000002,5288,1212,7665,0.021326276463262763,4.396041407222914,0.003504846341784293
GROCERY,SPICES & EXTRACTS,28220.11,9469,1904,14102,0.0054800864464340845,2.1781498919419575,0.003502356724419518
DRUG GM,CANDY - CHECKLANE,28116.66,23322,2142,57594,0.004389049883240019,0.7910604057057649,0.003489517695686419
GROCERY,SHORTENING/OIL,28097.65,8266,1812,9627,0.021407068792507526,3.132751700301037,0.003487158392291386
GROCERY,SUGARS/SWEETNERS,27505.62,10299,1872,12855,0.006235180468955827,2.4155282339509965,0.0034136824118094497
MEAT,SMOKED MEATS,27126.22,3932,1160,4554,0.001221001221001221,6.624229548229549,0.0033665956307428716
DRUG GM,COLD AND FLU,25642.44,4893,1416,6800,0.004690279799450105,4.147248908296943,0.0031824458573876577
DRUG GM,ANALGESICS,25426.21,4258,1315,5528,0.001887188089746278,5.331560075487523,0.003155609867218901
NUTRITION,REFRIGERATED,25323.02,5177,729,10216,0.002468814968814969,3.2904132016632017,0.0031428031067068816
GROCERY,SEAFOOD - SHELF STABLE,24991.74,7891,1565,22011,0.007568169170840289,2.7814958263772955,0.00310168842871074
GROCERY,PAPER HOUSEWARES,24952.22,7696,1611,12385,0.011895841139003372,2.337225552641439,0.003096783659106757
GROCERY,FRZN BREAKFAST FOODS,24927.7,7304,1404,12797,0.039169419537517694,2.352779613025012,0.0030937405176419378
GROCERY,ISOTONIC DRINKS,24753.33,5354,1156,14647,0.004323474501326521,2.432281615407291,0.003072099711066874
DELI,SALADS/DIPS,24600.99,6038,1406,8279,0.003537735849056604,3.2234001572327045,0.003053193015685528
PRODUCE,CITRUS,24527.9,10163,1654,26103,0.0,2.1311929794074205,0.0030441219223060964
DRUG GM,BABY FOODS,24073.6,4238,582,31337,0.015523678522303007,1.1826292002358025,0.0029877394113979605
PRODUCE,ONIONS,23771.86,15634,1938,18880,0.0001179871394018052,1.4023868798300985,0.0029502908997505453
COSMETICS,MAKEUP AND TREATMENT,23513.81,3962,1083,6168,0.016204477113264282,3.9281339792849987,0.0029182646903298005
GROCERY,DRY NOODLES/PASTA,23361.48,14021,1962,22070,0.006231608101090531,1.347959148346893,0.0028993592360338806
GROCERY,MARGARINES,23123.26,13559,1960,17214,0.02380126292415516,1.6045562417597667,0.00286979409901311
GROCERY,MISC. DAIRY,22931.53,7342,1552,10419,0.012294623896278082,2.5630412428747067,0.0028459987681383205
DRUG GM,SHAVING CARE PRODUCTS,22928.57,3297,1042,4261,0.05197712011937329,5.702205918925641,0.0028456314068521925
DELI,PREPARED FOOD,21906.44,4726,989,5770,0.0006093845216331506,4.449815153361771,0.0027187763421933045
DRUG GM,SOAP - LIQUID & BAR,21681.52,5868,1448,8148,0.04627822693058266,3.0222358516866463,0.0026908618487892595
