seller_id,total_orders,error_orders,error_rate
fdb9095204a334cd8872252ffec6f2db,46,3,6.52
001cca7ae9ae17fb1caed9dfb1094831,200,13,6.5
36a968b544695394e4e9d7572688598f,154,10,6.49
8f119a0aee85c0c8fc534629734e94fd,77,5,6.49
d921b68bf747894be13a97ae52b0f386,77,5,6.49
dd2bdf855a9172734fbc3744021ae9b9,108,7,6.48
5dceca129747e92ff8ef7a997dc4f8ca,325,21,6.46
05d2173d43ea568aa0540eba70d2ca76,62,4,6.45
b92e3c8f9738272ff7c59e111e108d7c,62,4,6.45
fcb5ace8bcc92f75707dc0f01a27d269,62,4,6.45
5f1dc28029d2c244352a68107ec2b542,62,4,6.45
cc419e0650a3c5ba77189a1882b7556a,1706,110,6.45
f00e21b1e91a79653163b7fd8f293ff1,31,2,6.45
febab0275244b9a49a623f0bd613ca2f,109,7,6.42
9b00ed88b7fdb95d6ff76e27c1b52d16,47,3,6.38
efcd8d2104f1a05d028af7bad20d974b,47,3,6.38
289cdb325fb7e7f891c38608bf9e0962,110,7,6.36
96493fab2fbb13a14d0c0e8772eef5c3,63,4,6.35
a3a38f4affed601eb87a97788c949667,254,16,6.3
b76dba6c951ab00dc4edf0a1aa88037e,159,10,6.29
0ef83d7d83ed97cd2a0049ac8be5f88a,48,3,6.25
669ae81880e08f269a64487cfb287169,162,10,6.17
4e7c18b98d84e05cbae3ff0ff03846c2,82,5,6.1
834f3294fba9f932f56edc879193f925,66,4,6.06
cca3071e3e9bb7d12640c9fbe2301306,712,43,6.04
eeb6de78f79159600292e314a77cbd18,83,5,6.02
cb3dd9ce66268c7a3ca7241ac70ab58c,50,3,6.0
25cf099de44674fde97473224f9d59ab,50,3,6.0
d94a40fd42351c259927028d163af842,101,6,5.94
ce27a3cc3c8cc1ea79d11e561e9bebb6,135,8,5.93
